場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
小倉,ダート,1700,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,600,44.7,20.4,102,43.1,20.6,88,35
中京,ダート,1400,前走着順が3着以内,枠番が6~8枠,馬齢が3歳以下,買い,211,46.4,20.3,56,30.4,19.5,77,113
中京,ダート,1400,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,289,44.6,20.3,73,34.2,19.5,66,73
中京,ダート,1400,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,453,43.3,20.3,116,36.2,19.5,67,71
新潟,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,318,50.6,21.0,82,45.1,21.0,84,74
新潟,ダート,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,356,48.9,21.0,93,47.3,21.0,79,75
新潟,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,438,47.9,21.0,104,42.3,21.0,78,65
京都,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,279,50.5,22.9,136,44.1,22.9,81,61
京都,ダート,1800,前走の馬体重が500kg以上,前走着順が3着以内,馬齢が3歳以下,買い,113,56.6,22.9,86,51.2,22.9,102,50
京都,ダート,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,351,49.6,22.9,175,42.3,22.9,87,55
阪神,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,276,50.4,20.5,75,46.7,20.0,74,61
阪神,ダート,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,323,48.9,20.5,93,43.0,20.0,76,54
阪神,ダート,1200,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,278,47.1,20.5,86,41.9,20.0,80,54
中山,芝,1600,前走との間隔が中8週以上,前走着順が3着以内,性別が牡馬・セン,買い,304,45.4,21.1,70,42.9,21.1,96,82
中山,芝,1600,前走の4コーナー通過順が4番手以内,前走の馬体重が460kg以上,前走着順が3着以内,買い,303,45.2,21.1,68,33.8,21.1,118,55
中山,芝,1600,前走着順が3着以内,枠番が1~3枠,馬齢が3歳以下,買い,126,50.0,21.1,32,37.5,21.1,88,127
東京,芝,1400,調教師の所属が美浦,騎手がルメール,,買い,103,59.2,20.4,20,60.0,20.3,66,57
東京,芝,1400,前走着順が5着以内,騎手がルメール,,買い,72,63.9,20.4,29,65.5,20.3,79,80
東京,芝,1400,前走着順が9着以内,騎手がルメール,,買い,91,59.3,20.4,31,64.5,20.3,68,75
東京,芝,1800,騎手がルメール,,,買い,145,65.5,23.4,41,68.3,22.1,77,97
東京,芝,1800,前走着順が3着以内,馬齢が3歳以下,,買い,396,49.0,23.4,169,43.2,22.1,68,46
東京,芝,1800,騎手が戸崎圭太,,,買い,132,43.9,23.4,51,49.0,22.1,64,58
福島,ダート,1700,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,217,50.7,20.9,62,40.3,20.4,80,65
福島,ダート,1700,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,261,49.0,20.9,78,46.2,20.4,74,70
福島,ダート,1700,前走中央場所,前走着順が3着以内,馬齢が3歳以下,買い,181,49.2,20.9,67,41.8,20.4,88,74
福島,芝,1200,前走の4コーナー通過順が4番手以内,前走着順が3着以内,調教師の所属が栗東,買い,104,49.0,20.8,29,31.0,20.8,109,80
福島,芝,1200,前走の馬体重が460kg以上,前走着順が5着以内,馬齢が3歳以下,買い,191,43.5,20.8,68,39.7,20.8,69,49
福島,芝,1200,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,142,45.1,20.8,34,41.2,20.8,90,72
中京,ダート,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,224,50.4,20.3,48,43.8,19.8,79,105
中京,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,191,51.3,20.3,37,43.2,19.8,79,82
中京,ダート,1200,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,261,48.3,20.3,59,42.4,19.8,86,95
阪神,芝,1600,前走着順が3着以内,枠番が1~3枠,調教師の所属が栗東,買い,142,53.5,21.9,28,35.7,21.0,55,106
阪神,芝,1600,前走着順が3着以内,性別が牡馬・セン,枠番が1~3枠,買い,88,58.0,21.9,15,26.7,21.0,60,53
阪神,芝,1600,前走着順が3着以内,前走着順が5着以内,枠番が1~3枠,買い,161,50.3,21.9,39,28.2,21.0,48,76
中京,芝,2000,調教師の所属が栗東,騎手が川田将雅,,買い,77,71.4,24.0,15,46.7,22.1,117,98
